icd1,sales,profit,profits,profitpure,equity,assets
2,12764,546,614,516,8864,12259
2,1261,80,81,52,2811,3120
2,3340,313,381,301,2097,3002
2,3505,1628,1527,1491,11047,41775
2,5852,2736,2772,786,17603,34489
2,4100,3879,3886,3875,42401,42424
2,858,194,159,271,4122,7758
2,1793400000,6657,6822,3263,15245,79696
2,46006,1342,1306,845,16991,52944
2,21366,1909,1909,1275,6843,15379
2,19015,1877,1874,1275,5830,11221
2,654,53,31,21,3196,5062
2,17806,-9077,-9235,-14243,8526,12719
2,5021,-197,-205,-398,4266,7219
2,139,104,104,76,6944,6949
2,42,-15,-21,-22,2123,2253
2,1507,79,86,60,293,572
2,6234,781,801,526,3581,4495
2,617,272,232,205,3340,5100
2,24382,-251,-275,-284,6161,7172
2,200,-230,2574,2592,7573,8037
2,10051500000,6717,6831,5476,94650,14693300000
2,27568,51,759,721,22415,31861
2,13613700000,12821,39457,32214,238162000000,316575000000
2,10718300000,4616,19664,13465,235815000000,315293000000
2,18002400000,9440,21536,23765,39122500000,46765600000
2,70,-218,-250,-119,450,512
2,12692,566,593,457,11357,20295
2,10851,1427,1482,1032,9312,10977
2,5598,774,780,561,3654,5715
2,16339,1160,1183,998,10155,15755
2,33269900000,22565,21724,8477,12679800000,33313200000
2,30994600000,19798,20084,14025,83496,24485300000
2,10473,9210,9247,9179,13442500000,15910300000
2,19073200000,3447,4934,2770,47081,17090300000
2,28308,3174,3233,2232,21538,33920
2,9674,622,693,745,2501,8012
2,676,129,119,-87,4633,11273
2,29396,442,498,114,5540,17715
2,4282,40,49,30,1337,3721
2,13264,314,356,156,6204,9402
2,30896,1802,1845,1252,12097,19127
2,7078,133,210,150,2642,5189
2,23797,1458,1265,865,4266,22349
2,240,43,-787,-1002,1389,2282
2,10750,434,491,351,6831,9086
2,19702,1109,1050,697,3953,13085
2,17645100000,9396,12130,8973,70271,16209600000
2,14740,822,916,632,6254,10980
2,16320,927,1452,1118,9005,17000
2,75510,4136,4345,2859,20485,49672
2,33292,1476,1495,1026,10598,25863
2,24124,1580,1604,1101,8175,18653
2,28387,1752,2000,1233,13434,21937
2,10269,791,1092,833,6588,11137
2,10976,599,638,437,7142,10762
2,5500,97,126,55,2680,4049
2,83873,5434,5626,3951,64374,94991
2,35782,1264,1290,821,8943,25454
2,49839,5067,5334,3630,59784,69085
2,132843000000,13376900000,13781700000,96102,60152300000,161308000000
2,139829000000,12326600000,13571400000,98435,63724800000,170093000000
2,140673000000,11356700000,12174200000,92733,6279100000,159748000000
2,12312700000,6741,6162,4481,35642,10550900000
2,37548,1668,1683,1088,14201,29607
2,65233100000,81491,83059,57572,30308100000,59905300000
2,90128,4415,4767,3445,37787,69164
2,12792100000,5826,6914,4312,66934,15899700000
2,128037000000,12029100000,13250400000,97078,54542100000,154698000000
2,61789,2840,3021,2139,24971,51262
2,62680,3851,3842,2751,15730,42219
2,17122100000,7107,6471,5430,60056,18592300000
2,33685300000,24537,25643,18625,19284400000,45221300000
2,35007600000,23650,23564,16766,73954,27472100000
2,11012200000,6687,6925,4747,49339,11498900000
2,40127300000,29820,32168,20424,19007200000,45573300000
2,23614,314,457,401,11513,21712
2,86157,4724,4868,3161,21751,62826
2,35671,2371,2520,1600,14009,27681
2,50698,1034,1330,938,21082,36136
2,21551700000,12928,14534,11889,16297200000,28862900000
2,12646400000,10989,11299,7972,75930,12732200000
2,11120,1677,1677,803,10697,14367
2,93824,4618,4590,3157,19797,58669
2,26596,878,856,579,7674,21324
2,42118,2473,2586,-1195,9467,36103
2,1346100000,5704,5656,4217,37238,96575
2,34201,3149,3147,2181,11912,26487
2,46808400000,32215,35029,24405,2521700000,6269200000
2,3070900000,21075,21782,14156,10997300000,2949500000
2,88866,3661,5231,3883,51784,75905
2,74457,4430,4607,2726,30169,51889
2,40176,1486,1588,1025,17609,40591
2,94323,5538,5807,4017,48860,88523
2,77737,5266,6126,4336,42668,94989
2,97811,7105,7464,7249,31828,80775
2,61405900000,61468,11061200000,88932,15363600000,58381900000
2,88633,13305,14064,9743,60160,96247
2,22473700000,21838,26212,19679,27824300000,3974500000
2,74521,1588,1698,-1354,30451,75613
2,21134700000,17102,16698,11066,20325900000,28200600000
2,12377900000,5542,5878,3178,70833,13582200000
2,16729100000,2935,2944,2476,60956,19107200000
2,10957400000,13406,13380,9694,60847,11464100000
2,14875900000,7038,7146,4879,48950,12927800000
2,31587,1090,1326,910,5905,24915
2,51219200000,25867,23441,16701,11312100000,36960900000
2,69958,4901,5034,3117,30312,69422
2,44444,1545,1751,-85,22112,42333
2,20285,842,901,596,11015,15991
2,33343,1604,1716,1161,10323,24727
2,72098900000,3713,19262,20531,26027300000,67306300000
2,22184,883,1144,250,23670,31318
2,32584,2906,3142,2913,30406,53209
2,192552000000,24062800000,26845700000,18252800000,125385000000,285664000000
2,87400,8701,9111,5850,54748,83401
2,117252000000,90922,11726400000,79710,85949900000,159427000000
2,62334,3841,3869,2627,24648,48605
2,43628,3960,4087,2728,33192,49743
2,19360100000,7627,8501,5649,10110100000,17019100000
2,51002,3634,3737,2483,38015,63589
2,73042,1740,2481,1589,43126,71306
2,49312800000,24146,25170,17084,21436300000,39581600000
2,45676200000,33520,37926,26250,42285600000,57949900000
2,67659,4535,4782,3271,58495,82772
2,19686600000,9373,8563,5796,88088,23807300000
2,35616,2504,2607,1845,16192,28462
2,10782900000,7505,8697,3877,58648,10546900000
2,14303600000,10662,11699,8038,12704500000,20422500000
2,2790600000,18119,26365,19897,1979900000,30789700000
2,1060600000,2468,3527,2864,40145,93906
2,35200700000,31912,34783,23296,16292400000,32531600000
2,29869,607,1130,759,28412,39087
2,19218300000,8060,9408,8079,81638,18411800000
2,43432300000,19546,36841,25416,32223500000,56730600000
2,32822,566,935,643,20181,40383
2,61759,4123,4522,2848,33148,56794
2,43656,2000,2058,1382,10298,28255
2,40569,2500,2711,1995,24186,33694
2,96813,3150,3662,2782,62070,10414700000
2,24512600000,14225,15850,11366,10937500000,24069400000
2,36107,2880,2874,1943,18014,33134
2,87607,3223,3943,2908,29878,79709
2,37965,5593,5939,4012,37680,47988
2,12518100000,8534,12345,7269,90684,15068500000
2,15384900000,7601,7995,5426,65775,11940400000
2,34374,987,1103,738,14709,25318
2,61016,1696,2190,1864,44259,62825
2,21730600000,20021,22280,13430,15227300000,25844600000
2,16708,2539,2604,1242,9013,14496
2,507,257,254,149,1642,4097
2,37656,2727,3334,2385,30502,42352
2,16371500000,7184,7789,6232,67834,1338300000
2,20066,1169,1391,998,32401,39833
2,14558300000,4626,4946,3505,46965,73387
2,40574,445,569,453,17482,28348
2,10524,866,905,631,8041,9873
2,55062,1120,1493,962,62803,92932
2,61168,2837,10127,7326,73167,95561
2,19213,906,952,749,8366,23361
2,12883,1289,1519,-460,14942,18725
2,43446,2799,3007,2203,50593,60224
3,14142700000,42781,43219,26319,17878800000,19021300000
3,28342,12658,12618,8978,26991,35335
3,654,121,125,-269,2342,2466
3,5354,504,501,339,2515,4611
3,3387,365,384,238,3817,7773
3,7133,67,73,265,2231,4096
3,8395,4020,3987,3321,5737,14569
3,4558,792,798,303,5276,6023
3,3268,628,615,470,2172,3084
3,15630,427,751,426,20183,55792
3,6801,1255,1276,818,7125,10284
3,811,514,517,513,21453,21487
3,30005,4016,3930,2838,13944,23062
3,7083,92,109,46,1775,4183
3,4768,567,581,127,7396,15156
3,9378,-189,743,709,1853,3787
3,990,449,432,409,1117,11721
3,6331,785,794,540,2333,3264
3,3253,38,42,19,468,1360
3,8751,-1809,-2139,681,19292,59306
3,2882,285,1022,889,6751,7844
3,8394,977,797,625,5171,26866
3,1791,28,33,22,476,839
3,5120,2575,2559,1858,19081,19866
3,2585,93,60,56,761,3242
3,29292,1009,923,-1687,6765,12540
3,11606,455,633,392,2523,8234
3,6591,455,466,234,1948,3753
3,22844,13163,11615,12306,10285300000,23833700000
3,7686,1611,1708,1135,5984,12469
3,6891,522,536,355,2962,3596
3,167,-765,-825,-1082,592,1064
3,11363,1762,1822,-57,25474,26685
3,520,53,42,28,391,2187
3,25936,1875,1816,881,6991,21384
2,18306100000,17441,18398,11624,87040,1647700000
2,38744,109,264,769,27308,46275
2,26024200000,11863,16560,13036,1969400000,30250100000
2,20538300000,11499,13701,9512,19376100000,29452300000
2,17616,77,537,425,42822,69088
2,1135400000,3803,4129,2863,46669,78586
2,3824,1371,1456,1603,14490,24412
2,81428,490,700,617,40002,56109
2,75373300000,17977,21805,13013,30416700000,54342500000
2,23436,-730,-398,-414,8141,17387
2,29547,2189,2220,1399,16070,23618
2,74509,4040,4667,2187,37088,61099
2,21574,-94,1815,1269,55605,75424
2,2860,2241,2377,2108,6810,9379
2,31589,934,967,671,12874,22480
2,19409600000,24708,25831,15825,14569200000,1864600000
2,43036300000,13298,17011,9943,11716500000,37096100000
2,53947,2234,2181,980,27204,57523
2,1794300000,1632,17323,14342,16433600000,33661600000
2,19317,515,777,439,9558,18259
2,21581,19300,19876,19826,26586200000,38565200000
2,29703300000,8543,9551,7073,63065,13350300000
2,79335700000,6215,21617,13783,21072700000,48685900000
2,16474600000,-1622,399,459,66798,10560900000
2,25737,-150,-97,-626,5627,17439
2,29475,95,136,80,3543,13423
2,44342,2338,2412,1630,14530,18948
2,9059,5608,5690,5489,18080500000,20359700000
3,6679,221,332,120,3631,4960
3,38152,3179,3186,1557,15438,24904
3,4149,543,545,379,2976,3419
3,13678,2198,2245,1537,18985,23177
3,23593800000,16357,24326,19374,19275800000,28181100000
3,1955,78,76,58,1145,1473
3,15919,12740,12070,8256,83181,13385600000
3,4362,514,546,349,4283,4981
3,455,-42,-31,38,4540,4854
3,8926,1736,1970,1322,17590,24483
3,8461,1517,2289,1764,5518,13151
3,49474,23293,23261,16087,39816,47440
3,1765,716,723,693,6073,8953
3,2776,884,846,484,8729,11585
3,8293,444,497,252,6857,10410
3,45865,3850,3629,2460,15383,36568
3,42167,12828,12859,9112,25899,33704
3,5877,2672,2252,2241,13364,98828
3,302,75,73,111,4016,4044
3,3026,707,722,491,4459,5389
3,360,-99,-103,-104,769,864
3,78344,3669,3383,2258,23017,68865
3,17396,-248,-260,-384,1767,12957
3,2029,106,110,44,1966,3636
3,2149,-213,-198,-311,5816,6664
3,24512,7297,7337,4957,19783,33178
3,3660,687,718,508,6397,25474
3,3530,-178,-131,-194,3344,4020
3,44719,-390,4497,3975,57100,11653700000
3,10032,503,530,374,7443,18960
3,1652,37,4049,3986,16211,41429
3,77637,3992,6697,9853,18830800000,2084400000
3,33010,18213,19374,17396,25238200000,45929400000
3,6295,868,873,598,5431,6271
3,32692,1068,1123,448,18047,23111
3,33946,1850,2120,1004,13754,47742
3,3743,364,532,406,3966,4652
3,2658,71,26,-50,2884,3736
3,1553,-27,-3,-4,697,1171
3,31813,3663,3732,1786,20869,26438
3,1212,629,689,608,4581,8367
3,3074,209,215,81,4104,5977
3,1532,-39,-150,-297,2669,4016
3,18198,617,1306,1016,8342,24956
3,2470,1883,1906,1430,9622,10226
3,1358,883,883,580,3336,3629
3,927,335,353,234,1979,2378
3,3121,323,350,236,3495,3998
3,7312,719,746,525,3967,5291
3,9761,317,348,457,4591,5974
3,5472,238,247,154,1845,3108
3,37028,762,941,586,10634,15916
3,25253,5172,5195,3552,11437,17621
3,8536,2474,2457,1691,11159,12975
3,22332,12592,12594,7966,41591,56825
3,4840,438,426,258,2708,3377
2,16644,8766,8128,4390,17167700000,40881700000
2,20089500000,16629400000,16256200000,15995700000,89664600000,190111000000
2,2547,905,853,979,16305,33207
2,10523,558,876,686,40622,46347
2,51143,1143,1648,1270,39154,48309
2,26517,21730,20273,20702,33113900000,54968300000
2,1221,-751,-779,-795,-771,1006
2,9239,6659,6829,5768,86306,11844200000
2,39449500000,15851,18600,13282,1428300000,27042700000
2,55275,587,827,99,32137,43575
2,10594,-34,-24,-175,7971,14115
2,16453,746,725,-282,8114,20037
2,21576500000,7410,8292,5704,11165800000,21120900000
2,11423,-298,-276,-338,2959,7183
2,30688,4010,4220,2762,26381,35108
2,17698300000,4891,5485,4757,82193,14274600000
